fullSpell,desc,count,countStr,countUnit,price,priceStr,priceUnit,border,bubbleDesc,icon,entityId,entityType,id,name,longitude,latitude,imageType,selected
c3620036033014411,1.5万(4套),4,4套,套,15017,1.5万,元,"106.247807,29.256971;106.248302,29.257204;106.248495,29.256837;106.247929,29.256723",华远春风度,,3620036033014411,resblock,3620036033014411,华远春风度,106.24411774888,29.256583142262,30002,False
c3620022687513696,0.83万(12套),12,12套,套,8275,0.83万,元,"106.299366,29.259354;106.300776,29.257779;106.302312,29.257731;106.302555,29.259094;106.300444,29.260607;106.299698,29.261001;106.299375,29.260788;106.300327,29.259969;106.299761,29.259543",祥豪维多利亚港...,,3620022687513696,resblock,3620022687513696,祥豪维多利亚港湾,106.30141929113,29.258155629045,30002,False
c36000000072359,(4套),4,4套,套,0,,元,,长江著山合,,36000000072359,resblock,36000000072359,长江著山合,106.29322082978,29.262514576976,30002,False
c3620049462908170,0.38万(2套),2,2套,套,3755,0.38万,元,,金科集美城,,3620049462908170,resblock,3620049462908170,金科集美城,106.223943,29.273866,30002,False
c3616950659920436,0.44万(19套),19,19套,套,4430,0.44万,元,"106.237787,29.276348;106.23626,29.276443;106.236472,29.276723;106.236495,29.277483;106.23252,29.27718;106.232433,29.275718;106.234068,29.272961;106.235613,29.273639;106.235559,29.272331;106.237589,29.272504",荧鸿城,,3616950659920436,resblock,3616950659920436,荧鸿城,106.235775,29.274678,30002,False
c3620041686135069,0.48万(13套),13,13套,套,4809,0.48万,元,,佳兆业篆山熙园,,3620041686135069,resblock,3620041686135069,佳兆业篆山熙园,106.244613,29.264151,30002,False
c3620041340105358,0.53万(9套),9,9套,套,5326,0.53万,元,,财信中梁华府,,3620041340105358,resblock,3620041340105358,财信中梁华府,106.240901,29.265195,30002,False
c3620024283139937,0.42万(1套),1,1套,套,4222,0.42万,元,"106.232945,29.270682;106.232837,29.271784;106.23573,29.274462;106.236624,29.277498;106.237854,29.277522;106.237832,29.276454;106.23758,29.272603",南华公租房,,3620024283139937,resblock,3620024283139937,南华公租房,106.23515955644,29.273978926844,30002,False
c3611100431564,0.6万(52套),52,52套,套,5951,0.6万,元,"106.261915,29.27536;106.262796,29.275502;106.263875,29.275573;106.263668,29.276947;106.263395,29.277727;106.264242,29.278393;106.265068,29.277794;106.266772,29.275967;106.269036,29.275021;106.268856,29.270721;106.26706,29.26965;106.2632,29.272741;106.262365,29.273898",金科世界城(江...,,3611100431564,resblock,3611100431564,金科世界城(江津),106.263505,29.274639,30002,False
c3611063890280,0.58万(11套),11,11套,套,5799,0.58万,元,"106.245351,29.264584;106.246011,29.264178;106.245638,29.26345;106.24973,29.261886;106.251383,29.263296;106.248248,29.265234;106.246945,29.266431;106.246945,29.266431;106.246945,29.266431;106.246119,29.265675",御江山浔院,,3611063890280,resblock,3611063890280,御江山浔院,106.248077,29.263879,30002,False
c3611100126061,0.44万(5套),5,5套,套,4368,0.44万,元,"106.256265,29.277911;106.257114,29.278305;106.257536,29.277695;106.256728,29.27723",津科苑,,3611100126061,resblock,3611100126061,津科苑,106.25704548629,29.277941963486,30002,False
c3611100126927,0.44万(5套),5,5套,套,4364,0.44万,元,"106.259247,29.274237;106.26055,29.274584;106.260878,29.273721;106.259876,29.273505",江岸丽都,,3611100126927,resblock,3611100126927,江岸丽都,106.260146,29.274036,30002,False
c3611100127280,0.41万(5套),5,5套,套,4126,0.41万,元,"106.260069,29.273276;106.262117,29.273654;106.262216,29.273119;106.261004,29.272307",金桥港湾,,3611100127280,resblock,3611100127280,金桥港湾,106.261219,29.273064,30002,False
c3611100121701,0.49万(4套),4,4套,套,4942,0.49万,元,"106.262571,29.278305;106.262886,29.278211;106.263345,29.278152;106.263523,29.277974;106.262939,29.27749;106.262728,29.27762;106.262737,29.277978;106.262463,29.278152",文广新村,,3611100121701,resblock,3611100121701,文广新村,106.263007,29.277951,30002,False
c3611100126265,0.46万(4套),4,4套,套,4550,0.46万,元,"106.254491,29.281676;106.255528,29.281877;106.256117,29.280026;106.255178,29.279774;106.254697,29.280853",聚英花园,,3611100126265,resblock,3611100126265,聚英花园,106.25529,29.280857,30002,False
c3611100423116,0.32万(4套),4,4套,套,3244,0.32万,元,"106.258465,29.275087;106.259103,29.274323;106.261663,29.275024;106.260765,29.276867;106.260351,29.276717;106.260689,29.275856",荣华,,3611100423116,resblock,3611100423116,荣华,106.26072,29.27537,30002,False
c3611100125387,0.43万(3套),3,3套,套,4311,0.43万,元,"106.257406,29.280184;106.257644,29.279695;106.258668,29.279896;106.258632,29.280278;106.257999,29.280239",渝津花园,,3611100125387,resblock,3611100125387,渝津花园,106.258107,29.28005,30002,False
c3611100126150,0.45万(3套),3,3套,套,4512,0.45万,元,"106.257433,29.276403;106.25821,29.276754;106.258704,29.276041;106.25794,29.275753",金沙海岸,,3611100126150,resblock,3611100126150,金沙海岸,106.25808,29.276214,30002,False
c3611100117872,0.52万(2套),2,2套,套,5151,0.52万,元,"106.263561,29.279479;106.264172,29.279381;106.263983,29.27844;106.263439,29.278487",津都花园,,3611100117872,resblock,3611100117872,津都花园,106.263799,29.278979,30002,False
c3611100119771,0.29万(2套),2,2套,套,2888,0.29万,元,"106.262279,29.280574;106.263309,29.282039;106.26361,29.281874;106.264499,29.280929;106.264149,29.27955;106.26401,29.279507;106.262643,29.279909",紫荆花园,,3611100119771,resblock,3611100119771,紫荆花园,106.26343,29.280629,30002,False
c3611100862085,0.34万(2套),2,2套,套,3421,0.34万,元,"106.26383,29.281858;106.264118,29.282256;106.265375,29.281634;106.264965,29.280814",金桥花园,,3611100862085,resblock,3611100862085,金桥花园,106.264616,29.28159,30002,False
c3611100123972,(1套),1,1套,套,0,,元,"106.261089,29.279479;106.260977,29.279121;106.260527,29.279042;106.260563,29.279672;106.26112,29.279661",人大家属院,,3611100123972,resblock,3611100123972,人大家属院,106.26079267833,29.279266042128,30002,False
c3611100125041,0.39万(1套),1,1套,套,3906,0.39万,元,"106.260619,29.274632;106.261724,29.274919;106.262078,29.273864;106.260938,29.273655;106.260771,29.274206",津源居,,3611100125041,resblock,3611100125041,津源居,106.261387,29.274289,30002,False
