link_id,length,from_node_id,to_node_id
54,68.24,30,31
55,679.48,32,33
57,69.83,35,36
58,382.16,36,37
58,382.16,36,37
58,382.16,36,37
59,517.53,37,38
59,517.53,37,38
60,1507.3,39,40
60,1507.3,39,40
62,943.88,33,43
74,288.32,60,61
74,288.32,60,61
75,288.32,61,60
75,288.32,61,60
80,11.37,64,65
81,11.37,65,64
82,70.43,65,66
83,70.43,66,65
84,17.0,66,67
85,17.0,67,66
86,184.13,68,69
87,123.38,69,70
88,109.57,70,71
89,43.94,71,72
90,193.17,72,73
91,189.86,73,74
92,46.16,75,76
92,46.16,75,76
93,46.16,76,75
93,46.16,76,75
94,97.1,77,78
94,97.1,77,78
95,97.1,78,77
95,97.1,78,77
96,18.29,78,75
96,18.29,78,75
97,18.29,75,78
97,18.29,75,78
98,124.82,76,79
98,124.82,76,79
99,124.82,79,76
99,124.82,79,76
100,192.32,80,81
101,21.27,82,80
102,446.23,83,84
103,269.16,85,86
104,284.58,86,87
106,377.91,89,90
107,291.86,90,91
108,711.41,91,92
108,711.41,91,92
109,268.54,93,88
116,334.03,95,98
117,334.03,98,95
164,207.45,145,146
164,207.45,145,146
165,1728.45,146,147
165,1728.45,146,147
165,1728.45,146,147
165,1728.45,146,147
168,59.36,150,151
168,59.36,150,151
169,169.16,151,152
169,169.16,151,152
170,162.29,153,154
170,162.29,153,154
172,467.74,156,157
172,467.74,156,157
173,49.71,157,158
173,49.71,157,158
174,740.27,158,159
174,740.27,158,159
176,425.96,158,152
176,425.96,158,152
177,43.01,152,161
177,43.01,152,161
178,128.81,162,163
178,128.81,162,163
179,1232.07,164,165
179,1232.07,164,165
180,104.63,165,166
180,104.63,165,166
181,102.94,166,167
181,102.94,166,167
181,102.94,166,167
182,142.41,168,169
182,142.41,168,169
182,142.41,168,169
183,1310.57,169,170
183,1310.57,169,170
184,126.05,171,172
184,126.05,171,172
184,126.05,171,172
185,265.21,172,173
185,265.21,172,173
185,265.21,172,173
186,401.7,173,174
186,401.7,173,174
186,401.7,173,174
189,11.55,178,179
190,1038.94,180,181
190,1038.94,180,181
191,146.16,181,182
192,67.51,183,184
193,192.77,184,185
194,992.05,185,186
194,992.05,185,186
195,33.15,186,171
196,36.91,187,188
197,1027.46,189,190
197,1027.46,189,190
197,1027.46,189,190
198,156.79,181,191
199,57.3,191,192
200,140.89,193,194
201,303.26,194,195
202,322.27,195,196
202,322.27,195,196
202,322.27,195,196
203,63.17,196,197
203,63.17,196,197
204,224.71,197,198
204,224.71,197,198
205,486.22,199,200
205,486.22,199,200
205,486.22,199,200
206,39.57,200,201
206,39.57,200,201
207,93.42,202,203
207,93.42,202,203
208,146.16,203,204
208,146.16,203,204
209,104.82,204,205
209,104.82,204,205
210,578.89,205,193
210,578.89,205,193
210,578.89,205,193
211,78.61,206,207
212,412.15,208,209
213,7.37,209,210
214,153.36,210,211
215,47.12,211,212
217,79.24,215,216
217,79.24,215,216
218,120.77,217,218
218,120.77,217,218
219,123.21,218,219
219,123.21,218,219
222,291.69,221,223
222,291.69,221,223
285,189.97,259,260
285,189.97,259,260
286,275.74,260,261
286,275.74,260,261
289,57.44,264,265
290,16.73,265,266
294,184.94,271,272
295,66.41,272,273
296,34.99,265,274
297,331.49,274,275
308,146.03,287,145
308,146.03,287,145
308,146.03,287,145
308,146.03,287,145
308,146.03,287,145
311,1019.97,291,292
311,1019.97,291,292
312,1019.97,292,291
312,1019.97,292,291
349,803.33,312,313
349,803.33,312,313
420,28.43,394,395
421,174.64,396,397
422,82.53,397,398
423,185.83,395,399
424,227.13,188,185
425,44.89,192,400
426,43.58,183,401
427,119.99,401,396
428,58.86,396,402
429,79.56,402,403
430,995.93,404,183
430,995.93,404,183
430,995.93,404,183
432,180.49,406,407
433,263.76,407,408
433,263.76,407,408
434,49.94,408,409
435,236.85,409,410
437,18.97,190,412
437,18.97,190,412
440,56.23,416,417
441,104.3,418,419
441,104.3,418,419
442,31.9,419,404
442,31.9,419,404
443,53.55,420,418
444,55.1,417,411
445,215.34,415,421
446,37.67,415,422
447,128.61,423,424
447,128.61,423,424
449,30.28,425,426
450,151.12,426,427
450,151.12,426,427
451,59.74,427,428
451,59.74,427,428
452,231.09,428,429
452,231.09,428,429
454,113.79,431,432
454,113.79,431,432
455,92.2,432,423
455,92.2,432,423
456,350.76,433,434
457,76.12,434,435
458,263.23,436,437
458,263.23,436,437
459,138.36,437,438
460,220.26,438,439
461,75.35,440,441
461,75.35,440,441
463,95.63,444,445
463,95.63,444,445
463,95.63,444,445
464,132.13,445,446
464,132.13,445,446
464,132.13,445,446
465,10.05,447,448
465,10.05,447,448
466,128.66,448,449
466,128.66,448,449
466,128.66,448,449
467,29.74,449,450
467,29.74,449,450
467,29.74,449,450
468,207.22,450,451
468,207.22,450,451
468,207.22,450,451
469,82.3,451,452
470,116.85,452,453
471,282.7,453,454
474,425.26,457,458
474,425.26,457,458
474,425.26,457,458
475,762.7,458,459
475,762.7,458,459
476,226.25,460,461
476,226.25,460,461
477,451.76,461,462
477,451.76,461,462
478,949.96,462,463
478,949.96,462,463
478,949.96,462,463
483,322.24,470,471
483,322.24,470,471
532,365.93,508,509
533,365.93,509,508
534,220.52,509,510
535,220.52,510,509
564,26.85,523,524
565,26.85,524,523
566,96.44,524,525
567,96.44,525,524
568,75.19,525,526
569,75.19,526,525
570,30.99,526,527
571,30.99,527,526
572,31.91,527,528
573,31.91,528,527
574,23.5,528,529
575,23.5,529,528
576,19.21,529,530
577,19.21,530,529
578,74.14,530,531
579,74.14,531,530
580,116.14,531,532
581,116.14,532,531
582,128.09,532,533
583,128.09,533,532
704,172.43,607,608
704,172.43,607,608
705,10.34,608,609
706,104.28,609,610
707,168.71,610,611
708,99.4,611,612
709,495.54,612,613
710,306.45,613,614
710,306.45,613,614
711,9.83,614,615
712,139.35,615,616
713,467.64,616,617
714,50.96,617,618
715,78.43,618,619
716,25.77,619,620
717,1194.95,620,621
717,1194.95,620,621
719,254.74,622,623
720,82.11,623,624
721,77.76,624,625
722,452.1,625,626
723,8.92,626,627
724,572.71,627,628
724,572.71,627,628
725,458.77,628,629
