distance,walking_distance,duration,from,to
821,0,298,悦港北路,悦港大道
1146,0,321,悦港大道,椿萱大道
1188,0,324,椿萱大道,中央公园西
1158,0,322,中央公园西,鲁家沟
956,0,307,鲁家沟,甘悦大道
4348,839,1208,玉河沟,园博中心
1575,0,351,园博中心,丹鹤
1646,0,356,丹鹤,湖霞街
1694,0,360,湖霞街,重光
2681,0,430,重光,和睦路
1504,0,346,和睦路,人和
1776,0,366,人和,幸福广场
2436,0,413,幸福广场,冉家坝
800,0,292,冉家坝,大龙山
2246,0,399,大龙山,大石坝
816,0,297,大石坝,忠恕沱
1213,0,326,忠恕沱,红岩村
1689,0,359,红岩村,歇台子
1711,0,361,歇台子,石桥铺
1261,0,329,石桥铺,石新路
1124,0,319,石新路,巴山
1874,0,373,巴山,凤西路
2494,0,417,凤西路,重庆西站
1090,0,317,重庆西站,华岩寺
2040,0,384,华岩寺,华成路
915,0,304,华成路,半山
1665,0,358,半山,中梁山
1888,0,374,中梁山,金建路
1379,0,337,金建路,华岩中心
2310,0,404,华岩中心,跳磴
1119,0,297,兰花路,南湖
1296,0,311,南湖,万寿路
2278,547,1308,万寿路,南坪
2991,581,1597,南坪,后堡
2178,0,380,后堡,七星岗
1042,0,291,七星岗,大礼堂
878,0,278,大礼堂,曾家岩
754,0,268,曾家岩,鲤鱼池
970,0,285,鲤鱼池,红土地
1385,0,318,红土地,龙头寺公园
760,0,269,龙头寺公园,重庆北站南广场
529,0,251,重庆北站南广场,重庆北站北广场
2662,0,418,重庆北站北广场,民心佳园
2458,0,402,民心佳园,三亚湾
3004,0,444,三亚湾,上湾路
1882,0,357,上湾路,环山公园
1989,0,365,环山公园,长河
5753,0,659,长河,江北机场T3航站楼
2296,0,389,江北机场T3航站楼,江北机场T2航站楼
684,0,263,江北机场T2航站楼,渝北广场
1970,0,363,渝北广场,鹿山
1578,0,333,鹿山,中央公园东
697,0,264,中央公园东,中央公园
917,0,281,中央公园,中央公园西
2588,0,412,中央公园西,悦来
1894,0,358,悦来,王家庄
699,0,349,朝天门,小什字
1572,0,411,小什字,较场口
938,0,366,较场口,七星岗
1425,0,401,七星岗,两路口
1683,0,419,两路口,鹅岭
1995,0,441,鹅岭,大坪
1156,0,381,大坪,石油路
1086,0,376,石油路,歇台子
1378,0,397,歇台子,石桥铺
1801,0,427,石桥铺,高庙村
1405,0,399,高庙村,马家岩
1290,0,391,马家岩,小龙坎
870,0,361,小龙坎,沙坪坝
1378,0,397,沙坪坝,杨公桥
961,0,368,杨公桥,烈士墓
1023,0,372,烈士墓,磁器口
1436,0,401,磁器口,石井坡
1996,0,441,石井坡,双碑
6731,0,777,双碑,赖家桥
1603,0,413,赖家桥,微电园
3123,0,521,微电园,陈家桥
1639,0,416,陈家桥,大学城
1327,0,394,大学城,尖顶坡
5565,0,694,尖顶坡,璧山
1123,0,228,鱼洞,大江
3478,0,455,大江,白居寺
1886,0,301,白居寺,刘家坝
1490,0,263,刘家坝,金家湾
1156,0,231,金家湾,建桥
1714,0,285,建桥,天堂堡
786,0,195,天堂堡,新山村
1031,0,219,新山村,大渡口
1158,0,231,大渡口,平安
1061,0,222,平安,马王场
1136,0,229,马王场,大堰村
969,0,213,大堰村,动物园
1055,0,221,动物园,杨家坪
1303,0,245,杨家坪,谢家湾
1247,0,240,谢家湾,袁家岗
1611,0,275,袁家岗,大坪
1646,0,278,大坪,佛图关
803,0,197,佛图关,李子坝
